0,389466591282200576,16280935,202,544,2,0.0,0,0,53,0,15
0,389466590267580416,1070846617,15,18,0,0.0,0,0,120,0,15
0,389466589969383424,1943050562,1,4,0,0.0,0,0,56,0,15
0,389466586471358464,16280935,202,544,2,0.0,0,0,91,0,16
0,389466585066270720,162061649,1965,879,19,0.0,0,0,81,0,16
0,389466584806203392,51845062,309,751,2,0.0,0,0,132,0,16
0,389466584731115520,1210035836,373,335,3,0.0,0,0,77,1,16
0,389466584470667264,41250010,177,217,4,0.0,0,0,77,0,16
0,389466581895348224,16280935,202,544,2,0.0,0,0,72,0,17
0,389466581627322368,374161420,68,477,0,0.0,0,0,72,1,17
0,389466572907368448,316583199,2523,2218,64,0.0,0,0,81,0,19
0,389466567140184064,16986317,21514,1148,262,0.0,0,0,86,0,20
2,389465978750660609,385087638,2725,649,12,0.0,0,0,100,0,161
0,389466562224484352,3307761,397,338,21,0.0,0,0,111,0,21
0,389466561624289280,335003809,11,29,0,0.0,0,0,74,0,22
0,389466560202420224,34509821,1336,828,7,0.0,0,0,122,1,22
0,389466556784066562,20462308,1062,206,91,0.0,0,0,55,1,23
0,389466554452430848,167126749,798,0,42,0.0,0,0,84,0,23
1,389465539770204160,1084743931,46,42,0,0.0,0,0,128,0,265
0,389466551109173248,17796829,620,372,24,0.0,0,0,40,1,24
0,389466550693933056,98095743,38,72,1,0.0,0,0,138,0,24
0,389466542435344384,83175087,84,169,6,0.0,0,0,140,0,26
0,389466539495137281,30776042,25,306,0,0.0,0,0,130,0,27
0,389466539105484801,120534149,2785,2650,25,0.0,0,0,102,0,27
0,389466537100201984,92349523,97,92,5,0.0,0,0,115,0,27
0,389466534545879040,373752052,22,31,0,0.0,0,0,129,0,28
0,389466528539611136,371084484,22,230,0,0.0,0,0,88,0,29
0,389466527780446208,1187590711,389,569,0,0.0,0,0,141,0,30
0,389466526220161026,1187590711,389,569,0,0.0,0,0,142,0,30
0,389466525502939136,16988492,745,445,38,0.0,0,0,74,1,30
0,389466524626321408,1187590711,389,569,0,0.0,0,0,128,0,30
0,389466517659590656,21323092,24406,16207,249,0.0,0,0,134,0,32
0,389466508394762240,21323092,24406,16207,249,0.0,0,0,134,0,34
0,389466508226592768,807187,1420,1453,102,0.0,0,0,74,0,34
0,389466501062733824,8642362,494,977,17,0.0,0,0,111,0,36
0,389466493672374272,1255242979,337,692,0,0.0,0,0,141,0,38
0,389466493177450497,1957616089,0,2,0,0.0,0,0,57,0,38
0,389466492133052416,1255242979,337,692,0,0.0,0,0,142,0,38
0,389466490493091840,1255242979,337,692,0,0.0,0,0,132,0,39
8,389465702974767104,352063861,27081,464,90,0.0,0,0,138,0,226
0,389466480233832449,632957618,152,178,0,0.0,0,0,76,1,41
0,389466480007331841,1873364234,35,29,0,0.0,0,0,134,0,41
0,389466476861599745,204943491,215,205,5,0.0,0,0,45,0,42
0,389466466686205952,1434769195,378,242,15,0.0,0,0,111,0,44
0,389466445564100609,1248508860,15,139,0,0.0,0,0,64,0,49
0,389466444611584000,601184907,20,41,0,0.0,0,0,91,0,50
0,389466444406083584,1066970346,441,581,0,0.0,0,0,81,1,50
0,389466443945115650,36982927,1142,521,20,0.0,0,0,90,0,50
1,389465966218080256,384146820,2436,815,58,0.0,0,0,40,1,164
0,389466438353698816,1062716244,371,96,9,0.0,0,0,99,0,51
0,389466437745532928,1062716244,371,96,9,0.0,0,0,81,0,51
0,389466437703569408,1219621034,91,150,3,0.0,0,0,57,0,51
